@id,socrata:rowID{Literal},rdf:type{URIRef},rdfs:member{URIRef},ds:consent_cases{Literal},ds:consent_deaths{Literal},ds:created_at{Literal},ds:new_case{Literal},ds:new_death{Literal},ds:state{Literal},ds:submission_date{Literal},ds:tot_cases{Literal},ds:tot_death{Literal},ds:conf_cases{Literal},ds:conf_death{Literal},ds:pnew_case{Literal},ds:pnew_death{Literal},ds:prob_cases{Literal},ds:prob_death{Literal}
ds:row-fh93.j5r6-vs7j,row-fh93.j5r6-vs7j,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2021-03-28T13:52:27,0.0,0.0,CT,2021-03-27T00:00:00,305210,7865,282328.0,6463.0,0,0,22882,1402
ds:row-fhj3-6bvx.xerj,row-fhj3-6bvx.xerj,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Not agree,Agree,2020-03-26T16:22:39,0.0,0.0,IN,2020-02-03T00:00:00,0,0,,,,,,
ds:row-fhkm_pei8-am2d,row-fhkm_pei8-am2d,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Not agree,Not agree,2021-09-04T13:18:29,93.0,0.0,GU,2021-09-03T00:00:00,11199,151,,,0,0,,
ds:row-fi3k_yvh4-8ew5,row-fi3k_yvh4-8ew5,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,,2021-08-18T14:45:06,1002.0,33.0,NV,2021-08-17T00:00:00,374651,6223,374651.0,,0,0,0,
ds:row-fibk-jmc2.jkzz,row-fibk-jmc2.jkzz,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,N/A,N/A,2020-11-10T00:00:00,1450.0,0.0,WA,2020-11-08T00:00:00,120327,2439,,,38,0,,
ds:row-fidk_dvpv.8a8v,row-fidk_dvpv.8a8v,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2020-08-01T14:38:12,1980.0,22.0,IL,2020-07-31T00:00:00,180118,7692,178837.0,7495.0,39,5,1281,197
ds:row-fmv4.5fh3-hk9u,row-fmv4.5fh3-hk9u,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2020-09-11T00:00:00,566.0,16.0,MS,2020-09-09T00:00:00,91190,3002,84834.0,2767.0,140,2,6356,235
ds:row-fvsi.t5is_8cqj,row-fvsi.t5is_8cqj,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Not agree,Not agree,2021-03-15T00:00:00,170.0,3.0,NE,2021-03-13T00:00:00,205615,2127,,,0,0,,
ds:row-fyz8.fb4y.zy6z,row-fyz8.fb4y.zy6z,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Not agree,Not agree,2021-08-14T14:46:52,81.0,0.0,VT,2021-08-13T00:00:00,24361,256,,,0,0,,
ds:row-g2r4_u5jp.n62t,row-g2r4_u5jp.n62t,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2020-03-26T16:22:39,100.0,0.0,WI,2020-03-22T00:00:00,381,4,,,,,,
