@id,socrata:rowID{Literal},rdf:type{URIRef},rdfs:member{URIRef},ds:conf_cases{Literal},ds:conf_death{Literal},ds:consent_cases{Literal},ds:consent_deaths{Literal},ds:created_at{Literal},ds:new_case{Literal},ds:new_death{Literal},ds:pnew_case{Literal},ds:pnew_death{Literal},ds:prob_cases{Literal},ds:prob_death{Literal},ds:state{Literal},ds:submission_date{Literal},ds:tot_cases{Literal},ds:tot_death{Literal}
https://data.cdc.gov/resource/_9mfq-cb36/row-a5cn-pzwb~iptt,row-a5cn-pzwb~iptt,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,25889.0,938.0,Agree,Agree,2020-06-11T00:00:00,712.0,16.0,21,3,453,69,AL,2020-06-09T00:00:00,26342,1007
https://data.cdc.gov/resource/_9mfq-cb36/row-a698~fdvy_bier,row-a698~fdvy_bier,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,40922.0,1190.0,Agree,Agree,2020-06-29T00:00:00,764.0,21.0,25,3,881,98,AL,2020-06-27T00:00:00,41803,1288
https://data.cdc.gov/resource/_9mfq-cb36/row-abk7~fp9z_qffz,row-abk7~fp9z_qffz,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,104274.0,1676.0,Agree,Agree,2021-08-07T14:00:45,228.0,0.0,26,0,8024,157,DE,2021-08-06T00:00:00,112298,1833
https://data.cdc.gov/resource/_9mfq-cb36/row-aedb~d9wk~abty,row-aedb~d9wk~abty,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,,Not agree,Not agree,2020-03-26T16:22:39,0.0,0.0,,,,,GU,2020-03-10T00:00:00,0,0
https://data.cdc.gov/resource/_9mfq-cb36/row-ahfd-uf2d~9tze,row-ahfd-uf2d~9tze,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,4845.0,246.0,Agree,Agree,2020-04-22T16:22:39,225.0,4.0,0,0,0,0,WI,2020-04-22T00:00:00,4845,246
https://data.cdc.gov/resource/_9mfq-cb36/row-av5s_x8pw~qkn8,row-av5s_x8pw~qkn8,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,25331.0,750.0,Agree,Agree,2020-06-24T15:03:27,289.0,6.0,26,1,2796,7,WI,2020-06-23T00:00:00,28127,757
https://data.cdc.gov/resource/_9mfq-cb36/row-aym2.q69i~4z3q,row-aym2.q69i~4z3q,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,905958.0,18017.0,Agree,Agree,2020-10-21T00:00:00,5162.0,55.0,150,0,8129,0,CA,2020-10-21T00:00:00,914087,18017
https://data.cdc.gov/resource/_9mfq-cb36/row-azi9_tzsi~hdum,row-azi9_tzsi~hdum,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,399234.0,,Agree,,2021-09-09T14:36:12,1446.0,33.0,0,0,0,,NV,2021-09-08T00:00:00,399234,6637
https://data.cdc.gov/resource/_9mfq-cb36/row-b37g~re2u-wzv7,row-b37g~re2u-wzv7,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,12708.0,Not agree,Agree,2021-03-26T00:00:00,1120.0,8.0,0,0,,412,IN,2021-03-26T00:00:00,683444,13120
https://data.cdc.gov/resource/_9mfq-cb36/row-bart~uas9-ustm,row-bart~uas9-ustm,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,14794.0,517.0,Agree,Agree,2020-08-07T00:00:00,70.0,0.0,0,0,946,70,DE,2020-08-05T00:00:00,15740,587
